City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,that phanom,16.9364,104.7104,38.24,35,21,4.92,TH,1683342059
136,mirnyy,62.5353,113.9611,4.02,80,100,7.15,RU,1683342059
137,ilulissat,69.2167,-51.1,-1.99,93,100,0.0,GL,1683342060
138,lido di ostia,41.7321,12.2765,17.0,67,0,1.54,IT,1683342060
139,rucava,56.1585,21.1619,-1.05,69,2,5.42,LV,1683342060
140,luanda,-8.8368,13.2343,25.0,94,75,2.06,AO,1683342011
141,kingston,17.997,-76.7936,28.53,76,20,2.57,JM,1683341935
142,hami,42.8,93.45,14.05,25,100,5.44,CN,1683342049
143,juegang,32.3174,121.1855,16.42,80,100,6.47,CN,1683342061
144,chonchi,-42.6128,-73.8092,11.56,98,83,0.44,CL,1683342061
145,rio grande,-32.035,-52.0986,18.83,98,100,2.49,BR,1683342017
146,ellsworth,44.5434,-68.4195,9.36,89,0,0.0,US,1683341849
147,saipan,15.1355,145.701,31.39,100,40,8.23,MP,1683342062
148,leua,48.2156,18.6071,12.5,86,76,3.03,SK,1683342062
149,portland,45.5234,-122.6762,13.99,83,100,2.68,US,1683341227
150,novaya igirma,57.1334,103.9112,6.01,94,100,4.03,RU,1683342062
151,wheelersburg,38.7304,-82.8555,15.08,51,0,0.0,US,1683342063
152,clifton springs,-38.15,144.5667,14.27,81,100,4.63,AU,1683342063
153,hermanus,-34.4187,19.2345,10.45,87,100,1.95,ZA,1683342063
154,namdrik,5.5994,168.1028,28.33,77,48,3.6,MH,1683342063
155,cannonvale,-20.2833,148.7,25.66,56,100,5.28,AU,1683342064
156,villa emilio carranza,19.9667,-96.6,26.51,84,100,1.84,MX,1683342064
157,zhicheng,30.2956,111.5047,18.25,80,100,6.19,CN,1683342064
158,westport,41.1415,-73.3579,11.78,83,63,1.34,US,1683341962
159,port mathurin,-19.6833,63.4167,26.09,70,11,8.46,MU,1683342065
160,vredendal,-31.6683,18.5012,12.15,95,100,1.19,ZA,1683342065
161,svendborg,55.0598,10.6068,5.48,84,100,9.47,DK,1683342065
162,fort st. john,56.2499,-120.8529,22.94,20,100,10.8,CA,1683342053
163,axim,4.8699,-2.2405,27.11,82,15,2.61,GH,1683342066
164,pyapon,16.2833,95.6833,34.64,45,5,5.09,MM,1683342066
165,uturoa,-16.7333,-151.4333,27.8,78,100,8.66,PF,1683342066
166,port blair,11.6667,92.75,30.06,68,100,2.21,IN,1683342066
167,viedma,-40.8135,-62.9967,12.73,72,0,4.4,AR,1683342067
168,son tay,21.1378,105.505,30.96,54,48,1.74,VN,1683342067
169,anadyr,64.75,177.4833,-1.72,80,40,4.0,RU,1683342067
170,majene,-3.5403,118.9707,28.66,79,62,3.4,ID,1683342068
171,namibe,-15.1961,12.1522,21.53,81,68,1.2,AO,1683342068
172,arvayheer,46.2639,102.775,4.4,40,99,2.02,MN,1683342068
173,bacalar,18.6667,-88.3833,24.76,86,2,2.35,MX,1683342068
174,luganville,-15.5333,167.1667,29.04,71,38,3.71,VU,1683342068
175,qaqortoq,60.7167,-46.0333,1.22,71,11,1.92,GL,1683342069
176,alo,7.4178,6.7371,24.79,86,100,1.51,NG,1683342069
177,avarua,-21.2078,-159.775,28.03,83,75,6.69,CK,1683342069
178,ancud,-41.8697,-73.8203,10.38,94,22,1.04,CL,1683342069
179,stung treng,13.5259,105.9683,37.79,40,53,1.47,KH,1683342070
180,gadzhiyevo,69.2551,33.3362,-1.35,92,100,3.5,RU,1683342070
181,sovetskaya gavan',48.9723,140.2878,5.74,60,89,3.37,RU,1683342070
182,vadso,70.0744,29.7487,1.49,86,100,5.66,NO,1683342070
183,alofi,-19.0595,-169.9187,26.94,83,100,4.12,NU,1683342071
184,remire-montjoly,4.9167,-52.2667,26.02,89,20,2.06,GF,1683342071
185,sidney,-33.8679,151.2073,22.06,43,0,5.66,AU,1683341785
186,pembroke,45.8168,-77.1162,10.1,80,61,1.21,CA,1683341916
187,kepno,51.2784,17.9891,9.89,85,100,6.43,PL,1683342071
188,wailua homesteads,22.0669,-159.378,27.24,72,12,3.58,US,1683342072
189,al bukayriyah,26.1442,43.6593,22.87,22,4,4.5,SA,1683342072
190,priargunsk,50.3691,119.1012,14.06,16,87,3.37,RU,1683342072
191,khanty-mansiysk,61.0042,69.0019,8.06,87,0,4.02,RU,1683342072
192,wajir,1.7471,40.0573,23.95,81,1,3.75,KE,1683342073
193,pudozh,61.8099,36.5345,-1.02,75,100,3.47,RU,1683342073
194,luderitz,-26.6481,15.1594,13.09,80,13,4.82,NA,1683342073
195,puerto baquerizo moreno,-0.9,-89.6,26.57,84,21,4.2,EC,1683342073
196,enewetak,11.3474,162.3373,27.51,79,100,7.21,MH,1683342073
197,riosucio,5.4216,-75.7032,15.93,96,100,0.42,CO,1683342074
198,hithadhoo,-0.6,73.0833,28.11,77,99,9.4,MV,1683342074
199,newport east,41.5158,-71.2875,10.47,77,0,1.54,US,1683342074
200,carnarvon,-24.8667,113.6333,27.19,41,30,0.78,AU,1683342074
201,talara,-4.5772,-81.2719,26.42,73,75,4.63,PE,1683342075
202,wang sai phun,16.3885,100.538,37.68,39,16,2.1,TH,1683342075
203,usinsk,65.9939,57.5281,-0.48,87,9,2.36,RU,1683342075
204,hafnarfjordur,64.0671,-21.9377,7.21,81,75,2.57,IS,1683342075
205,kamen'-rybolov,44.7481,132.0403,12.87,33,3,4.92,RU,1683342075
206,dudinka,69.4058,86.1778,-11.32,86,90,4.33,RU,1683342076
207,meadow lake,34.8014,-106.5436,20.16,12,1,6.77,US,1683342076
208,port-vila,-17.7338,168.3219,29.78,70,40,2.57,VU,1683342076
209,bikenibeu village,1.3673,173.1241,31.98,66,40,4.63,KI,1683342076
210,kirov,58.5966,49.6601,5.43,93,100,2.62,RU,1683342077
211,bowen,-20.0167,148.2333,25.2,61,98,7.66,AU,1683342077
212,putyvl',51.3374,33.8707,2.52,85,93,4.92,UA,1683342077
213,santa ana de yacuma,-13.75,-65.4333,23.7,94,98,2.97,BO,1683342077
214,kansanshi,-12.0951,26.4273,10.18,73,5,1.21,ZM,1683342078
215,karpenisi,38.9167,21.7833,7.78,93,72,0.45,GR,1683342078
216,ouadda,8.0777,22.4007,22.24,58,35,0.8,CF,1683342078
217,kailua-kona,19.6406,-155.9956,26.27,78,57,1.79,US,1683342078
218,palikir - national government center,6.9248,158.1611,30.47,74,100,5.14,FM,1683342079
219,altai,46.3722,96.2583,-0.23,96,100,1.98,MN,1683342079
220,el granada,37.5027,-122.4694,13.84,84,100,6.17,US,1683342079
221,sao vicente,-23.9631,-46.3919,26.1,26,100,0.5,BR,1683342079
222,chongqing,29.5628,106.5528,21.79,87,100,3.0,CN,1683341523
223,bahir dar,11.5936,37.3908,21.28,50,72,1.29,ET,1683342080
224,lebu,-37.6167,-73.65,11.51,92,8,3.91,CL,1683342081
225,manta,-0.95,-80.7333,27.88,83,75,1.54,EC,1683342082
226,idri,27.5,13.2667,18.03,31,0,2.49,LY,1683342038
227,coquimbo,-29.9533,-71.3436,11.85,82,0,2.06,CL,1683342082
228,lagoa,39.05,-27.9833,16.73,94,100,9.46,PT,1683342083
229,boromo,11.75,-2.9333,30.96,41,0,1.96,BF,1683342083
230,san antonio de pale,-1.4014,5.6325,27.78,78,39,3.92,GQ,1683342083
231,ilgaz,40.9251,33.6259,11.5,57,100,2.28,TR,1683342084
232,vila franca do campo,37.7167,-25.4333,17.23,95,98,4.59,PT,1683342084
233,gamba,-2.65,10.0,24.47,94,100,1.2,GA,1683342084
234,tobruk,32.0836,23.9764,16.63,83,0,8.71,LY,1683342084
235,sultanah,24.4926,39.5857,26.25,14,0,2.57,SA,1683342085
236,suva,-18.1416,178.4415,28.71,74,75,3.09,FJ,1683341824
237,porto novo,6.4965,2.6036,28.9,81,21,1.89,BJ,1683342085
238,corner brook,48.9667,-57.9484,5.09,88,85,0.85,CA,1683342085
239,bamboo flat,11.7,92.7167,30.13,67,100,2.12,IN,1683342085
240,walvis bay,-22.9575,14.5053,13.94,100,99,3.6,NA,1683342086
241,georgetown,5.4112,100.3354,30.97,74,20,1.03,MY,1683341920
242,utrik,11.2278,169.8474,27.13,76,100,7.67,MH,1683342086
243,berdigestyakh,62.0989,126.6992,1.51,100,100,3.42,RU,1683342086
244,talnakh,69.4865,88.3972,-11.55,86,97,6.07,RU,1683342087
245,dobris,49.7811,14.1672,12.71,97,100,0.89,CZ,1683342087
246,san patricio,28.017,-97.5169,26.2,85,100,2.79,US,1683342087
247,mount isa,-20.7333,139.5,29.87,21,65,4.63,AU,1683342087
248,bentong town,3.5167,101.9,29.85,78,100,0.42,MY,1683342087
249,port saint john's,-31.6229,29.5448,18.28,83,1,2.96,ZA,1683342088
250,burela de cabo,43.65,-7.4,15.1,90,100,2.78,ES,1683342088
251,mazamari,-11.3258,-74.5308,20.73,98,85,0.83,PE,1683342088
252,sakakah,29.9697,40.2064,22.76,19,0,2.26,SA,1683342022
253,kirkuk,35.4681,44.3922,20.46,27,26,2.85,IQ,1683342088
254,salalah,17.0151,54.0924,29.04,21,97,4.22,OM,1683342089
255,kwang binh,17.4833,106.6,36.07,46,8,3.39,VN,1683342089
256,jinxiang,27.4327,120.6062,21.9,96,100,0.64,CN,1683342027
257,cidreira,-30.1811,-50.2056,20.34,94,100,3.56,BR,1683342089
258,magadan,59.5667,150.8,1.31,76,94,0.86,RU,1683342090
259,krasnoural'sk,58.3638,60.0407,13.05,46,97,3.85,RU,1683342090
260,polyarnyy,69.1989,33.4478,-0.86,91,100,3.06,RU,1683342090
261,arkhangel'sk,64.5401,40.5433,-1.76,82,94,2.81,RU,1683342023
262,greymouth,-42.4667,171.2,16.45,88,100,1.05,NZ,1683342056
263,ballina,-28.8667,153.5667,24.88,56,0,3.63,AU,1683342091
264,nandyal,15.4833,78.4833,31.28,51,40,2.63,IN,1683342091
265,voss,60.623,6.4229,4.19,69,66,2.13,NO,1683342091
266,shalazhi,43.0978,45.3608,7.64,75,11,1.19,RU,1683342091
267,kerikeri,-35.2268,173.9474,17.16,96,100,3.12,NZ,1683342092
268,kapa'a,22.0752,-159.319,27.99,72,9,3.58,US,1683342092
269,port macquarie,-31.4333,152.9167,24.38,44,0,2.35,AU,1683342092
270,fale old settlement,-9.3852,-171.2468,29.15,76,96,6.67,TK,1683342042
271,palmer,42.1584,-72.3287,10.75,78,75,0.0,US,1683341820
272,presque isle,46.6811,-68.0159,10.28,51,0,0.0,US,1683342092
273,vila velha,-20.3297,-40.2925,22.75,94,40,1.03,BR,1683341941
274,san jeronimo de juarez,17.1333,-100.4667,28.68,72,100,1.93,MX,1683342093
275,new norfolk,-42.7826,147.0587,11.51,50,40,1.34,AU,1683342093
276,beyneu,45.3167,55.2,16.1,22,100,2.44,KZ,1683342093
277,lampazos de naranjo,27.0167,-100.5167,24.2,57,16,5.5,MX,1683342094
278,amnat charoen,15.9167,104.75,36.7,39,49,4.79,TH,1683342094
279,tolanaro,-25.0319,46.9987,23.04,88,20,2.57,MG,1683342094
280,le vauclin,14.5452,-60.8388,26.03,78,0,2.57,MQ,1683342094
281,isangel,-19.55,169.2667,28.12,70,19,0.87,VU,1683342095
282,natal,-5.795,-35.2094,24.36,100,40,5.14,BR,1683341796
283,llanes,43.4198,-4.7549,16.25,69,100,3.28,ES,1683342095
284,mancio lima,-7.6142,-72.8958,23.31,99,99,0.93,BR,1683342095
285,sisimiut,66.9395,-53.6735,-0.4,82,100,1.5,GL,1683342045
286,shingu,33.7333,135.9833,22.82,69,70,6.2,JP,1683342096
287,marsabit,2.3284,37.9899,16.98,93,30,4.89,KE,1683342096
288,puerto penasco,31.3167,-113.5333,18.84,67,7,3.67,MX,1683341991
289,al bawiti,28.3492,28.8659,18.37,47,0,4.29,EG,1683342096
290,arteche,12.2645,125.4048,29.77,70,41,2.95,PH,1683342096
291,lautoka,-17.6167,177.4667,29.92,66,40,3.6,FJ,1683342097
292,ta`u,-14.2336,-169.5144,27.0,78,93,5.75,AS,1683342097
293,tura,25.5198,90.2201,28.46,56,0,2.54,IN,1683342083
294,winneba,5.3511,-0.6231,26.98,81,25,2.13,GH,1683342097
295,grand-lahou,5.1367,-5.0242,27.06,85,7,4.75,CI,1683342097
296,smolenskoye,52.3044,85.0781,14.06,45,44,2.82,RU,1683342098
297,colonia,50.9333,6.95,12.2,93,40,2.06,DE,1683342098
298,makoua,0.0069,15.6333,22.78,92,69,1.23,CG,1683342098
299,ndele,8.4109,20.6473,24.9,48,48,2.04,CF,1683342098
300,nemuro,43.3236,145.575,2.99,95,100,7.73,JP,1683342049
301,pacific grove,36.6177,-121.9166,13.7,82,100,2.24,US,1683342099
302,mahibadhoo,3.7833,72.9667,28.8,74,100,7.65,MV,1683342099
303,khandyga,62.6667,135.6,4.04,73,97,2.25,RU,1683342050
304,abepura,-2.6333,140.5833,31.45,62,20,1.03,ID,1683342099
305,biloela,-24.4167,150.5,26.75,34,0,1.03,AU,1683342100
306,taybad,34.74,60.7756,11.61,60,0,1.54,IR,1683342100
307,north bay,46.3168,-79.4663,8.01,76,0,1.03,CA,1683341866
308,grand baie,-20.0182,57.5802,25.26,84,10,0.89,MU,1683342100
309,iskateley,67.6803,53.1512,-4.98,90,96,3.44,RU,1683342100
310,bubaque,11.2833,-15.8333,26.28,87,71,6.65,GW,1683342101
311,salina cruz,16.1667,-95.2,29.51,76,94,2.6,MX,1683342101
312,saint augustine beach,29.8505,-81.2654,23.34,68,76,4.63,US,1683342101
313,bukittinggi,-0.3091,100.3706,20.21,98,100,1.12,ID,1683342101
314,sheridan,44.8333,-106.9173,11.84,85,75,10.29,US,1683342102
315,mar del plata,-38.0023,-57.5575,11.64,87,75,1.03,AR,1683342102
316,krasnokamensk,50.0979,118.0369,12.54,15,98,1.98,RU,1683342102
317,kidal,18.4411,1.4078,30.78,19,0,2.71,ML,1683342102
318,boali,4.8005,18.1275,22.13,84,81,1.24,CF,1683342103
319,prince george,53.9166,-122.753,21.69,43,100,16.98,CA,1683342033
320,enriquillo,17.9,-71.2333,25.81,86,15,4.16,DO,1683342103
321,passa quatro,-22.3903,-44.9667,16.04,97,60,0.46,BR,1683342103
322,revadanda,18.5503,72.9278,28.75,65,61,2.6,IN,1683342104
323,seminole,28.7086,-81.2081,23.54,76,80,3.04,US,1683342038
324,klaksvik,62.2266,-6.589,7.51,95,100,12.15,FO,1683342104
325,tanjung pandan,-2.75,107.65,29.64,71,91,3.52,ID,1683342105
326,camp flora,13.3508,122.6644,28.47,70,20,2.03,PH,1683342105
327,kletskaya,49.3145,43.0584,12.88,89,52,4.32,RU,1683342105
328,thompson,55.7435,-97.8558,13.09,44,20,3.09,CA,1683342106
329,klyuchi,52.2667,79.1667,19.13,26,88,3.71,RU,1683342052
330,vila do maio,15.1333,-23.2167,22.44,85,8,9.52,CV,1683342106
331,erdaojiang,41.7764,126.0319,18.11,30,48,5.75,CN,1683342106
332,shasta lake,40.6804,-122.3708,11.41,91,100,0.65,US,1683342107
333,sao paulo de olivenca,-3.3783,-68.8725,23.63,98,82,0.84,BR,1683342107
334,binji,13.2228,4.9096,30.12,37,36,3.55,NG,1683342107
335,darhan,49.4867,105.9228,10.18,33,0,1.33,MN,1683342107
336,ponta delgada,37.7333,-25.6667,17.4,94,75,6.17,PT,1683342108
337,al majaridah,19.1236,41.9111,29.61,52,3,0.37,SA,1683342108
338,gornyye klyuchi,45.25,133.5,15.54,30,4,5.5,RU,1683342108
339,tamanrasset,22.785,5.5228,24.95,11,0,6.17,DZ,1683342108
340,cockburn town,21.4612,-71.1419,26.82,79,6,7.15,TC,1683342109
341,vurnary,55.4904,46.9648,5.64,93,100,4.69,RU,1683342109
342,ventspils,57.3894,21.5606,-2.04,80,0,2.06,LV,1683341779
343,touros,-5.1989,-35.4608,28.1,77,3,7.95,BR,1683342054
344,princeville,45.7668,-61.2985,2.73,89,52,2.57,CA,1683342109
345,sitka,57.0531,-135.33,8.05,72,100,1.61,US,1683342110
346,djibouti,11.5,42.5,27.61,61,5,1.81,DJ,1683342110
347,abu zabad,12.35,29.25,28.67,19,43,2.53,SD,1683342110
348,tazacorte,28.629,-17.9293,20.54,86,0,8.75,ES,1683342110
349,san luis de la loma,17.2706,-100.8939,28.67,71,100,1.86,MX,1683342111
350,revda,56.801,59.9303,14.72,38,98,3.68,RU,1683342111
351,melekeok village,7.4957,134.6367,28.93,73,80,4.08,PW,1683342111
352,flying fish cove,-10.4217,105.6791,28.82,78,40,4.12,CX,1683342111
353,kerman,30.2832,57.0788,6.92,45,0,3.09,IR,1683342112
354,saldanha,-33.0117,17.9442,8.03,86,91,1.1,ZA,1683342112
355,reuleuet,5.2167,96.2833,30.04,69,75,1.25,ID,1683342112
356,nago,26.5881,127.9761,28.47,80,100,6.51,JP,1683342112
357,suhbaatar,50.2314,106.2078,11.29,31,6,1.68,MN,1683342113
358,banda aceh,5.5577,95.3222,29.45,70,94,4.82,ID,1683342113
359,bishkul,54.7803,69.1033,16.19,29,0,5.0,KZ,1683342113
360,amga,60.8953,131.9608,3.75,95,97,2.66,RU,1683342113
361,hirara,24.8,125.2833,28.15,83,75,7.2,JP,1683342114
362,kone,-21.0595,164.8658,24.76,78,95,3.59,NC,1683342114
363,east ballina,-28.8667,153.5833,24.89,57,0,3.7,AU,1683342114
364,caleta de carquin,-11.0925,-77.6267,22.41,83,55,3.38,PE,1683342114
